year,category,series,model,sku_example,cpu,gpu,display,ram,storage,weight_kg,price_idr,price_usd,refresh_rate_hz,panel_type,npu_ai_tops,source,material
2024,Laptop,Acer Swift,X14 SFX14,SFX14-i7-RTX3050,Intel Core i7-12700H,NVIDIA RTX 3050 4GB,"14"" 2.5K 2560x1440",16GB LPDDR5,512GB SSD,1.5,19999000,1311,60,IPS,,IDN Times 2024,Aluminum
2023,Laptop,Acer TravelMate,TMB311 Chromebook,TMB311-32-C37P,Intel Celeron N4020,Intel UHD 600,"11.6"" HD 1366x768",4GB DDR4,32GB eMMC,1.3,3500000,229,60,LED,,Carisinyal 2024,Plastic
2024,Laptop,Acer TravelMate,P2 TMP214,TMP214-i5-1135G7,Intel Core i5-1135G7,Intel Iris Xe,"14"" FHD 1920x1080",8GB DDR4,512GB SSD,1.6,9000000,590,60,IPS,,Pricebook 2025,Plastic-Aluminum
2025,Laptop,Acer TravelMate,P6 AI,TMP6-AI-Ultra7,Intel Core Ultra 7 165U,Intel Arc,"14"" WUXGA 1920x1200",16GB LPDDR5X,512GB SSD,0.99,16999000,1114,60,IPS,AI 34 TOPS,Detik Inet 2025,Carbon Fiber
2024,Laptop,Acer ConceptD,7 Ezel Pro,CD7EP-i9-RTX3080,Intel Core i9-11980HK,NVIDIA RTX 3080 16GB,"15.6"" 4K Touch 3840x2160",32GB DDR4,2TB SSD,2.5,49000000,3212,60,IPS Touch,,Telset 2022,Aluminum CNC
2024,Laptop,Acer ConceptD,5 Pro CN515,CN515-i7-RTX4060,Intel Core i7-13700H,NVIDIA RTX 4060 8GB,"15.6"" 4K 3840x2160",32GB DDR5,1TB SSD,2.2,35000000,2295,60,IPS,,Pricebook 2025,Aluminum
2024,Laptop,Acer Chromebook,314 CB314,CB314-N4020,Intel Celeron N4020,Intel UHD 600,"14"" FHD 1920x1080",4GB LPDDR4,64GB eMMC,1.4,3500000,229,60,IPS,,Carisinyal 2024,Plastic
2024,Laptop,Acer Chromebook,Spin 714 CP714,CP714-i5-1235U,Intel Core i5-1235U,Intel Iris Xe,"14"" 2.5K Touch 2560x1600",8GB LPDDR5,256GB SSD,1.5,12000000,787,60,IPS Touch,,Pricebook 2025,Aluminum
2021,Laptop,Acer Nitro,5 AN515-52,AN515-52-i5-GTX1050,Intel Core i5-8300H,NVIDIA GTX 1050 4GB,"15.6"" FHD 1920x1080",8GB DDR4,512GB SSD,2.4,10000000,655,60,IPS,,OLX 2025,Plastic-Aluminum
2021,Laptop,Acer Nitro,5 AN515-58,AN515-58-710Q,Intel Core i7-12650H,NVIDIA RTX 4060 8GB,"15.6"" FHD 1920x1080",16GB DDR5,512GB SSD,2.5,18999000,1245,144,IPS,,Suara 2024,Plastic-Aluminum
2024,Laptop,Acer Nitro,V 15 ANV15-51,ANV15-51-53WR,Intel Core i5-13420H,NVIDIA RTX 3050 4GB,"15.6"" FHD 1920x1080",8GB DDR5,512GB SSD,2.1,12749000,836,144,IPS,,Suara 2024,Plastic-Aluminum
2024,Laptop,Acer Nitro,V 15 ANV15-51,ANV15-51-5115,Intel Core i5-13420H,NVIDIA RTX 4050 6GB,"15.6"" FHD 1920x1080",8GB DDR5,512GB SSD,2.1,15249000,1000,144,IPS,,Suara 2024,Plastic-Aluminum
2025,Laptop,Acer Nitro,V 15 ANV15-52,ANV15-52-i7-RTX5050,Intel Core i7-13620H,NVIDIA RTX 5050 6GB,"15.6"" FHD 1920x1080",16GB DDR5,512GB SSD,2.1,16999000,1114,144,IPS,,GGWP 2025,Plastic-Aluminum
2024,Laptop,Acer Nitro,V 16 ANV16-41,ANV16-41-R77X,AMD Ryzen 7 8845HS,NVIDIA RTX 4050 6GB,"16"" WUXGA 1920x1200",16GB DDR5,512GB SSD,2.5,17249000,1130,144,IPS,,Suara 2024,Plastic-Aluminum
2025,Laptop,Acer Nitro,Lite NL16-71G,NL16-71G-i5-RTX4050,Intel Core 7 240H,NVIDIA RTX 4050 6GB,"16"" 1800p 2560x1600",16GB DDR5,512GB SSD,2.3,12999000,852,180,IPS,,GGWP 2025,Plastic-Aluminum
2021,Laptop,Acer Predator,Helios 300 PH315-54,PH315-54-i7-RTX3060,Intel Core i7-11800H,NVIDIA RTX 3060 6GB,"15.6"" QHD 2560x1440",16GB DDR4,512GB SSD,2.3,22999000,1507,165,IPS 100% DCI-P3,,Acer Official 2025,Aluminum
2021,Laptop,Acer Predator,Helios 300 PH315-54,PH315-54-i9-RTX3060,Intel Core i9-11900H,NVIDIA RTX 3060 6GB,"15.6"" QHD 2560x1440",16GB DDR4,512GB SSD,2.3,22999000,1507,165,IPS 100% DCI-P3,,Acer Official 2025,Aluminum
2022,Laptop,Acer Predator,Helios 300 PH315-54,PH315-54-i7-RTX3070,Intel Core i7-11800H,NVIDIA RTX 3070 8GB,"15.6"" QHD 2560x1440",16GB DDR4,512GB SSD,2.3,25999000,1704,165,IPS 100% DCI-P3,,Acer Official 2025,Aluminum
2024,Laptop,Acer Predator,Helios 300,PH315-i7-RTX4070,Intel Core i7-13700H,NVIDIA RTX 4070 8GB,"15.6"" FHD 1920x1080",16GB DDR5,1TB SSD,2.3,26000000,1704,300,IPS 300Hz,,Telset 2022,Aluminum
2024,Laptop,Acer Predator,Helios 500,PH500-i9-RTX4080,Intel Core i9-13980HX,NVIDIA RTX 4080 12GB,"17.3"" UHD 3840x2160",32GB DDR5,2TB SSD,4.5,57000000,3737,120,IPS,,Carisinyal 2025,Aluminum
2023,Laptop,Acer Predator,Helios Neo 16 PHN16-71,PHN16-71-72DN,Intel Core i7-13700HX,NVIDIA RTX 4060 8GB,"16"" WQXGA 2560x1600",16GB DDR5,1TB SSD,2.6,26999000,1770,165,IPS,,Suara 2024,Aluminum-Plastic
2024,Laptop,Acer Predator,Helios Neo 16 PHN16-71,PHN16-71-93DR,Intel Core i9-13900HX,NVIDIA RTX 4060 8GB,"16"" WQXGA 2560x1600",16GB DDR5,1TB SSD,2.6,26999000,1770,165,IPS,,Suara 2024,Aluminum-Plastic
2024,Laptop,Acer Predator,Helios Neo 16 PHN16-72,PHN16-72-50XB,Intel Core i5-14500HX,NVIDIA RTX 4060 8GB,"16"" WUXGA 1920x1200",8GB DDR5,512GB SSD,2.6,20499000,1344,165,IPS,,Suara 2024,Aluminum-Plastic
2024,Laptop,Acer Predator,Helios Neo 16 PHN16-72,PHN16-72-788Y,Intel Core i7-14700HX,NVIDIA RTX 4050 6GB,"16"" WUXGA 1920x1200",16GB DDR5,512GB SSD,2.6,21499000,1409,165,IPS,,Suara 2024,Aluminum-Plastic
2024,Laptop,Acer Predator,Helios Neo 16 PHN16-72,PHN16-72-733C,Intel Core i7-14700HX,NVIDIA RTX 4060 8GB,"16"" WQXGA 2560x1600",16GB DDR5,1TB SSD,2.6,25499000,1671,165,IPS,,Suara 2024,Aluminum-Plastic
2024,Laptop,Acer Predator,Helios Neo 14 PHN14-51,PHN14-51-9378,Intel Core Ultra 9 185H,NVIDIA RTX 4060 8GB,"14"" WQXGA 2880x1800",32GB LPDDR5X,1TB SSD,1.9,27999000,1835,165,IPS,AI 34 TOPS,Suara 2024,Aluminum
2025,Laptop,Acer Predator,Helios Neo 16S AI,PHN16S-AI-U9-RTX5070Ti,Intel Core Ultra 9 275HX,NVIDIA RTX 5070 Ti 8GB,"16"" QHD+ 2560x1600",32GB DDR5,1TB SSD,2.4,36999000,2426,240,IPS,AI 798 TOPS,GGWP 2025,Aluminum
2025,Laptop,Acer Predator,Triton 14 AI PT14-52T,PT14-52T-U9-RTX5080,Intel Core Ultra 9 275HX,NVIDIA RTX 5080 12GB,"14"" 2.8K OLED 2880x1800",32GB LPDDR5X,2TB SSD,1.8,49999000,3278,240,OLED,AI 798 TOPS,GGWP 2025,Metal Blade-Graphene
2025,Laptop,Acer Predator,Helios 18 AI PH18-73,PH18-73-U9-RTX5090,Intel Core Ultra 9 275HX,NVIDIA RTX 5090 24GB,"18"" UHD+ miniLED 3840x2400",192GB DDR5,4TB SSD,3.8,84999000,5573,120,miniLED,AI 798 TOPS,GGWP 2025,Aluminum
