year,category,series,model,sku_example,cpu,gpu,display,ram,storage,weight_kg,price_idr,price_usd,refresh_rate_hz,panel_type,npu_ai_tops,source,material
2024,Gaming,Victus,Victus 16,16-s0088TX,Intel Core i7-13700H,NVIDIA RTX 4060 8GB,16.1,16GB DDR5-4800,512GB PCIe 4.0 SSD,2.3,22999000,1460,144,IPS FHD,0,HP Official,Plastic
2024,Gaming,Victus,Victus 16,16-s0087TX,Intel Core i7-13620H,NVIDIA RTX 4050 6GB,16.1,16GB DDR5-4800,512GB PCIe 4.0 SSD,2.3,19999000,1270,144,IPS FHD,0,HP Official,Plastic
2024,Gaming,Victus,Victus 15,15-fa1082TX,Intel Core i7-13620H,NVIDIA RTX 4060 8GB,15.6,16GB DDR5-4800,512GB PCIe 4.0 SSD,2.29,21999000,1397,144,IPS FHD,0,HP Official,Plastic
2024,Gaming,Victus,Victus 15,15-fa1081TX,Intel Core i5-12500H,NVIDIA RTX 4050 6GB,15.6,16GB DDR5-4800,512GB PCIe 4.0 SSD,2.29,18999000,1206,144,IPS FHD,0,HP Official,Plastic
2024,Gaming,Victus,Victus 15,15-fa1080TX,Intel Core i5-12450H,NVIDIA RTX 3050 4GB,15.6,8GB DDR4-3200,512GB PCIe 4.0 SSD,2.29,13499000,857,144,IPS FHD,0,HP Official,Plastic
2024,Gaming,Victus,Victus 15,15-fb2082AX,AMD Ryzen 5 7535HS,NVIDIA RTX 2050 4GB,15.6,8GB DDR5-4800,512GB PCIe 4.0 SSD,2.29,12999000,825,144,IPS FHD,0,HP Official,Plastic
2024,Gaming,Pavilion Gaming,Pavilion Gaming 15,15-ec2097AX,AMD Ryzen 7 5800H,NVIDIA GTX 1650 4GB,15.6,8GB DDR4-3200,512GB PCIe 3.0 SSD,2.19,11999000,762,144,IPS FHD,0,HP Official,Plastic
2025,Ultrabook,Spectre,Spectre x360 14,14-eu0071TU,Intel Core Ultra 7 155H,Intel Arc Graphics,14.0,16GB LPDDR5X-7467,1TB PCIe 4.0 SSD,1.39,27000000,1714,120,OLED 2.8K Touchscreen,10,HP Official,Aluminum
2024,Ultrabook,Spectre,Spectre x360 14,14-ef2074TU,Intel Core i7-1355U,Intel Iris Xe,14.0,16GB LPDDR5-5200,1TB PCIe 4.0 SSD,1.39,24999000,1587,60,OLED FHD Touchscreen,0,HP Official,Aluminum
2024,Ultrabook,Spectre,Spectre x360 16,16-f2033dx,Intel Core i7-13700H,Intel Iris Xe,16.0,32GB LPDDR5-5200,2TB PCIe 4.0 SSD,2.0,32999000,2095,120,OLED 3K Touchscreen,0,HP Official,Aluminum
2024,Ultrabook,Spectre,Spectre x360 13.5,13-be2047TU,Intel Core i7-1355U,Intel Iris Xe,13.5,16GB LPDDR5-5200,512GB PCIe 4.0 SSD,1.34,22999000,1460,60,OLED 3K Touchscreen,0,HP Official,Aluminum
2024,Ultrabook,Envy,Envy x360 15,15-fh0065cl,AMD Ryzen 7 7730U,AMD Radeon Graphics,15.6,16GB DDR4-3200,512GB PCIe 4.0 SSD,1.74,17999000,1143,60,IPS FHD Touchscreen,0,HP Official,Aluminum
2024,Ultrabook,Envy,Envy x360 14,14-fc0888TU,Intel Core Ultra 7 155U,Intel Graphics,14.0,16GB LPDDR5X-7467,512GB PCIe 4.0 SSD,1.39,18999000,1206,60,OLED 2.8K Touchscreen,10,HP Official,Aluminum
2024,Ultrabook,Envy,Envy x360 14,14-es0063dx,Intel Core i7-1355U,Intel Iris Xe,14.0,16GB DDR4-3200,512GB PCIe 4.0 SSD,1.39,16999000,1079,60,IPS FHD Touchscreen,0,HP Official,Aluminum
2024,Ultrabook,Envy,Envy 13,13-ba1085cl,Intel Core i7-1165G7,Intel Iris Xe,13.3,8GB DDR4-3200,512GB PCIe 3.0 SSD,1.3,14999000,952,60,IPS FHD,0,HP Official,Aluminum
2024,Ultrabook,Envy,Envy 17,17-cw0075cl,Intel Core i7-1355U,Intel Iris Xe,17.3,16GB DDR4-3200,512GB PCIe 4.0 SSD,2.49,19999000,1270,60,IPS FHD Touchscreen,0,HP Official,Aluminum
2024,Business,Pavilion,Pavilion x360 14,14-ek1083TU,Intel Core i7-1355U,Intel Iris Xe,14.0,16GB DDR4-3200,512GB PCIe 4.0 SSD,1.51,15999000,1016,60,IPS FHD Touchscreen,0,HP Official,Aluminum
2024,Business,Pavilion,Pavilion x360 14,14-ek1082TU,Intel Core i5-1335U,Intel Iris Xe,14.0,8GB DDR4-3200,512GB PCIe 4.0 SSD,1.51,12999000,825,60,IPS FHD Touchscreen,0,HP Official,Aluminum
2024,Business,Pavilion,Pavilion 15,15-eg3083TU,Intel Core i7-1355U,Intel Iris Xe,15.6,16GB DDR4-3200,512GB PCIe 4.0 SSD,1.75,14999000,952,60,IPS FHD,0,HP Official,Plastic/Aluminum
2024,Business,Pavilion,Pavilion 15,15-eg3082TU,Intel Core i5-1335U,Intel Iris Xe,15.6,8GB DDR4-3200,512GB PCIe 4.0 SSD,1.75,11999000,762,60,IPS FHD,0,HP Official,Plastic/Aluminum
2024,Business,Pavilion,Pavilion 14,14-dv2076TX,Intel Core i7-1355U,Intel Iris Xe,14.0,16GB DDR4-3200,512GB PCIe 4.0 SSD,1.41,13999000,889,60,IPS FHD,0,HP Official,Aluminum
2024,Business,Pavilion,Pavilion 14,14-dv2075TX,Intel Core i5-1335U,Intel Iris Xe,14.0,8GB DDR4-3200,512GB PCIe 4.0 SSD,1.41,10999000,698,60,IPS FHD,0,HP Official,Aluminum
2024,Business,Pavilion,Pavilion Aero 13,13-be2097AU,AMD Ryzen 7 7735U,AMD Radeon Graphics,13.3,16GB LPDDR5-6400,512GB PCIe 4.0 SSD,0.97,16999000,1079,60,IPS WUXGA,0,HP Official,Magnesium Alloy
2025,Business,Pavilion Plus,Pavilion Plus 14,14-ey0016AU,AMD Ryzen 7 8840HS,AMD Radeon 780M,14.0,16GB LPDDR5X-6400,512GB PCIe 4.0 SSD,1.44,17999000,1143,90,OLED 2.8K,0,HP Official,Aluminum
2024,Business,Pavilion Plus,Pavilion Plus 14,14-ew1083TX,Intel Core i7-1355U,NVIDIA GeForce MX550 2GB,14.0,16GB DDR4-3200,512GB PCIe 4.0 SSD,1.44,16999000,1079,90,OLED 2.8K,0,HP Official,Aluminum
2024,Business,EliteBook,EliteBook 840 G10,7K2M2PA,Intel Core i7-1355U,Intel Iris Xe,14.0,16GB DDR5-5200,512GB PCIe 4.0 SSD,1.36,24999000,1587,60,IPS FHD,0,HP Official,Aluminum/Magnesium
2024,Business,EliteBook,EliteBook 840 G9,6B5A3PA,Intel Core i7-1265U,Intel Iris Xe,14.0,16GB DDR5-4800,512GB PCIe 4.0 SSD,1.36,22999000,1460,60,IPS FHD,0,HP Official,Aluminum/Magnesium
2024,Business,EliteBook,EliteBook 840 G9,6B5A2PA,Intel Core i5-1245U,Intel Iris Xe,14.0,8GB DDR4-3200,256GB PCIe 4.0 SSD,1.36,17999000,1143,60,IPS FHD,0,HP Official,Aluminum/Magnesium
2024,Business,EliteBook,EliteBook 850 G9,6B5A5PA,Intel Core i7-1265U,Intel Iris Xe,15.6,16GB DDR5-4800,512GB PCIe 4.0 SSD,1.78,24999000,1587,60,IPS FHD,0,HP Official,Aluminum/Magnesium
2024,Business,EliteBook,EliteBook 1040 G10,8H3L2PA,Intel Core i7-1355U,Intel Iris Xe,14.0,16GB LPDDR5-5200,512GB PCIe 4.0 SSD,1.18,28999000,1841,60,IPS WUXGA,0,HP Official,Aluminum/Magnesium
2025,Business,EliteBook Ultra,EliteBook Ultra G1i,14-inch,Intel Core Ultra 7 268V,Intel Arc 140V,14.0,32GB LPDDR5X-8533,1TB PCIe 4.0 SSD,1.34,35999000,2285,60,OLED 2.8K,47,HP Official,Aluminum
2024,Business,Elite Dragonfly,Elite Dragonfly G3,6B6A1PA,Intel Core i7-1265U,Intel Iris Xe,13.5,16GB LPDDR5-5200,512GB PCIe 4.0 SSD,0.99,28999000,1841,60,IPS WUXGA Touchscreen,0,HP Official,Magnesium Alloy
2024,Business,Elite Dragonfly,Elite Dragonfly G3,6B6A0PA,Intel Core i5-1245U,Intel Iris Xe,13.5,16GB LPDDR5-5200,256GB PCIe 4.0 SSD,0.99,24999000,1587,60,IPS WUXGA Touchscreen,0,HP Official,Magnesium Alloy
2024,Business,ProBook,ProBook 450 G10,8A4C8PA,Intel Core i7-1355U,Intel Iris Xe,15.6,16GB DDR4-3200,512GB PCIe 4.0 SSD,1.79,16999000,1079,60,IPS FHD,0,HP Official,Plastic/Aluminum
2024,Business,ProBook,ProBook 450 G10,8A4C7PA,Intel Core i5-1335U,Intel Iris Xe,15.6,8GB DDR4-3200,512GB PCIe 4.0 SSD,1.79,13999000,889,60,IPS FHD,0,HP Official,Plastic/Aluminum
2024,Business,ProBook,ProBook 440 G10,8A4C5PA,Intel Core i5-1335U,Intel Iris Xe,14.0,8GB DDR4-3200,512GB PCIe 4.0 SSD,1.38,12999000,825,60,IPS FHD,0,HP Official,Plastic/Aluminum
2024,Business,245 G9,245 G9,6K0A2PA,AMD Ryzen 5 5625U,AMD Radeon Graphics,14.0,8GB DDR4-3200,512GB PCIe 3.0 SSD,1.47,9999000,635,60,TN HD,0,HP Official,Plastic
2024,Business,245 G10,245 G10,8B5F4PA,AMD Ryzen 5 7530U,AMD Radeon Graphics,14.0,8GB DDR4-3200,512GB PCIe 4.0 SSD,1.36,10999000,698,60,IPS FHD,0,HP Official,Plastic
2024,Business,240 G9,240 G9,6K0A1PA,Intel Core i5-1235U,Intel Iris Xe,14.0,8GB DDR4-3200,512GB PCIe 4.0 SSD,1.47,10999000,698,60,IPS FHD,0,HP Official,Plastic
2024,Business,HP 14,HP 14-ep0261TU,Intel Core i3-1315U,Intel UHD Graphics,14.0,8GB DDR4-3200,512GB PCIe 4.0 SSD,1.4,7999000.0,508,60,IPS FHD,0,HP Official,Plastic,
2024,Business,HP 14,HP 14-ep0260TU,Intel Core i3-1315U,Intel UHD Graphics,14.0,8GB DDR4-3200,512GB PCIe 4.0 SSD,1.4,7499000.0,476,60,IPS FHD,0,HP Official,Plastic,
2024,Budget,HP 14s,HP 14s-fq1083AU,AMD Athlon 3050U,AMD Radeon Graphics,14.0,8GB DDR4-2400,512GB SSD,1.46,6499000.0,413,60,IPS FHD,0,HP Official,Plastic,
2024,Budget,HP 14s,HP 14s-dq5085TU,Intel Core i3-1215U,Intel UHD Graphics,14.0,8GB DDR4-3200,256GB SSD,1.46,6999000.0,444,60,IPS FHD,0,HP Official,Plastic,
2024,Budget,HP 15s,HP 15s-fq5007TU,Intel Core i3-1215U,Intel UHD Graphics,15.6,8GB DDR4-3200,256GB SSD,1.69,6499000.0,413,60,TN HD,0,HP Official,Plastic,
2024,Budget,HP 15s,HP 15s-fq5006TU,Intel Pentium N200,Intel UHD Graphics,15.6,4GB DDR4-3200,256GB SSD,1.69,4999000.0,317,60,TN HD,0,HP Official,Plastic,
2024,Budget,HP Laptop 14,HP Laptop 14-em0333AU,AMD Ryzen 3 7320U,AMD Radeon Graphics,14.0,8GB DDR5-4800,512GB SSD,1.39,6999000.0,444,60,IPS FHD,0,HP Official,Plastic,
2024,Budget,HP Laptop 14,HP Laptop 14-em0332AU,AMD Ryzen 3 7320U,AMD Radeon Graphics,14.0,8GB DDR5-4800,512GB SSD,1.39,6499000.0,413,60,IPS FHD,0,HP Official,Plastic,
2025,Business,OmniBook,OmniBook Ultra Flip 14,14-fe0013TU,Intel Core Ultra 7 258V,Intel Arc 140V,14.0,32GB LPDDR5X-8533,1TB PCIe 4.0 SSD,1.34,26999000,1714,120,OLED 2.8K Touchscreen,47,HP Official,Aluminum
2025,Business,OmniBook,OmniBook X 14,14-fe0012TU,Qualcomm Snapdragon X Elite,Qualcomm Adreno,14.0,16GB LPDDR5X-8448,512GB PCIe 4.0 SSD,1.34,21999000,1397,120,IPS 2.2K,45,HP Official,Aluminum
2024,Creator,ZBook,ZBook Studio 16 G10,8C3M7PA,Intel Core i9-13900H,NVIDIA RTX 3000 Ada 12GB,16.0,32GB DDR5-4800,1TB PCIe 4.0 SSD,1.73,48999000,3111,60,IPS WUXGA,0,HP Official,Aluminum
2024,Creator,ZBook,ZBook Power 15 G10,8C3M5PA,Intel Core i7-13700H,NVIDIA RTX A1000 6GB,15.6,16GB DDR5-4800,512GB PCIe 4.0 SSD,2.0,32999000,2095,60,IPS FHD,0,HP Official,Aluminum
2024,Creator,ZBook,ZBook Firefly 14 G10,8C3M3PA,Intel Core i7-1355U,NVIDIA RTX A500 4GB,14.0,16GB DDR5-5200,512GB PCIe 4.0 SSD,1.4,28999000,1841,60,IPS FHD,0,HP Official,Aluminum
2024,Gaming,Omen,Omen 16 Gen 11,16-c0090AX,AMD Ryzen 9 5900HX,NVIDIA RTX 3070 8GB,16.1,16GB DDR4-3200,512GB PCIe 3.0 SSD,2.3,26999000,1714,165,IPS QHD,0,Second Market,Aluminum
2024,Gaming,Pavilion Gaming,Pavilion Gaming 15,15-dk2097TX,Intel Core i7-11370H,NVIDIA GTX 1650 4GB,15.6,8GB DDR4-3200,512GB PCIe 3.0 SSD,2.23,13999000,889,144,IPS FHD,0,Second Market,Plastic
