No;Brand;Device Name;Product URL;Estimated_Price;Popularity_Fans;Battery_Charging;Battery_Type;Body_;Body_Build;Body_Dimensions;Body_SIM;Body_Weight;Comms_Bluetooth;Comms_Infraredport;Comms_NFC;Comms_Positioning;Comms_Radio;Comms_USB;Comms_WLAN;Display_;Display_Protection;Display_Resolution;Display_Size;Display_Type;EULABEL_Battery;EULABEL_Energy;EULABEL_Freefall;EULABEL_Repairability;Features_;Features_Sensors;Launch_Announced;Launch_Status;MainCamera_Dual;MainCamera_Features;MainCamera_Quad;MainCamera_Single;MainCamera_Triple;MainCamera_Video;Memory_;Memory_Cardslot;Memory_Internal;Misc_Colors;Misc_Models;Misc_Price;Misc_SAR;Misc_SAREU;Network_;Network_2Gbands;Network_3Gbands;Network_4Gbands;Network_5Gbands;Network_Speed;Network_Technology;OurTests_Battery;OurTests_Batteryold;OurTests_Camera;OurTests_Display;OurTests_Loudspeaker;OurTests_Performance;Platform_CPU;Platform_Chipset;Platform_GPU;Platform_OS;Selfiecamera_Features;Selfiecamera_Single;Selfiecamera_Video;Sound_;Sound_35mmjack;Sound_Loudspeaker
11;Vivo;vivo V27;https://www.gsmarena.com/vivo_v27-12119.php;N/A;N/A;66W wired, 50% in 19 min;4600 mAh;Color changing back panel color;Glass front, glass back;164.1 x 74.8 x 7.4 mm (6.46 x 2.94 x 0.29 in);Nano-SIM + Nano-SIM;180 g (6.35 oz);5.3, A2DP, LE;N/A;Yes;GPS, GLONASS, GALILEO, BDS, QZSS, NavIC;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;N/A;1080 x 2400 pixels, 20:9 ratio (~388 ppi density);6.78 inches, 111.0 cm2 (~90.4% screen-to-body ratio);AMOLED, 1B colors, 120Hz, HDR10+;N/A;N/A;N/A;N/A;N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2023, March 01;Available. Released 2023, March 01;N/A;Ring-LED flash, panorama, HDR;N/A;N/A;"50 MP, f/1.9, (wide), 1/1.56"", 1.0µm, PDAF, OIS
8 MP, f/2.2, 16mm, 120˚ (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)";4K@30/60fps, 1080p@30fps, gyro-EIS;N/A;No;128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM;Magic Blue, Noble Black, Emerald Green, Flowing Gold;V2231, V2246;About 380 EUR;N/A;N/A;1, 3, 5, 8, 28, 78 SA/NSA - Asia;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - International;1, 2, 3, 4, 5, 7, 8, 18, 19, 20, 26, 28, 38, 39, 40, 41 - International;1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 77, 78 SA/NSA - International;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;N/A;Endurance rating 134h;Photo / Video;1055 nits max brightness (measured);-28.2 LUFS (Average);"AnTuTu: 613641 (v9)
GeekBench: 2400 (v5.1), 2689 (v6)
GFXBench: 34fps (ES 3.1 onscreen)";Octa-core (2x2.8 GHz Cortex-A715 & 6x Cortex-A510);Mediatek Dimensity 7200 (4 nm);Mali-G610 MC4;Android 13, Funtouch 13;Dual-LED flash, HDR;50 MP, f/2.5, (wide), AF;4K@30/60fps, 1080p@30fps, gyro-EIS;24-bit/192kHz Hi-Res audio;No;Yes
12;Vivo;vivo Y500 (China);https://www.gsmarena.com/vivo_y500_5g_(china)-14097.php;N/A;N/A;"90W wired
Reverse wired";Si/C Li-Ion 8200 mAh;"IP68/IP69+ dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 24 hours)
Drop resistant up to 1.7m";N/A;163.1 x 75.9 x 8.2 mm (6.42 x 2.99 x 0.32 in);Nano-SIM + Nano-SIM;213 g (7.51 oz);5.4, A2DP, LE, aptX HD;N/A;Yes;GPS, GALILEO, GLONASS, QZSS, BDS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band;N/A;Diamond Shield Glass;1080 x 2392 pixels (~388 ppi density);6.77 inches, 110.9 cm2 (~89.6% screen-to-body ratio);AMOLED, 1B colors, 120Hz, 3840Hz PWM, 5000 nits (peak);N/A;N/A;N/A;N/A;N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2025, September 01;Available. Released 2025, September 05;"50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)";Ring-LED flash, panorama, HDR;N/A;N/A;N/A;4K@30fps, 1080p@30fps, gyro-EIS;UFS 3.1;No;128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM;Black, Blue, Purple;V2506A;About 170 EUR;N/A;N/A;CDMA 800;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 28, 34, 38, 39, 40, 41;1, 3, 5, 8, 28, 38, 40, 41, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / CDMA / HSPA / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55);Mediatek Dimensity 7300 (4 nm);Mali-G615 MC2;Android 15, OriginOS 5;Panorama;8 MP, f/2.1, (wide);1080p@30fps;"24-bit/192kHz Hi-Res & Hi-Res Wireless audio
3D Panoramic Audio speaker";No;Yes, with stereo speakers
13;Vivo;vivo Y29;https://www.gsmarena.com/vivo_y29-13587.php;N/A;N/A;"44W wired
Reverse wired";Li-Ion 5500 mAh;"IP64 dust tight and water resistant (water splashes)
MIL-STD-810H compliant*
* does not guarantee ruggedness or use in extreme conditions";Glass front, plastic back, plastic frame;165.8 x 76.1 x 8.1 mm (6.53 x 3.00 x 0.32 in);Nano-SIM + Nano-SIM;198 g (6.98 oz);5.4, A2DP, LE;N/A;No;GPS, GLONASS, GALILEO, BDS, QZSS;FM radio;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;N/A;720 x 1608 pixels, 20:9 ratio (~264 ppi density);6.68 inches, 107.4 cm2 (~85.1% screen-to-body ratio);IPS LCD, 120Hz, 1000 nits (HBM);N/A;N/A;N/A;N/A;N/A;Fingerprint (side-mounted), accelerometer, proximity, compass;2024, December 24;Available. Released 2024, December 24;N/A;Ring-LED flash, panorama;N/A;"50 MP, f/1.8, (wide), 1/1.95"", 0.8µm, PDAF
Auxiliary lens";N/A;1080p@30fps;eMMC 5.1;microSDXC (uses shared SIM slot);128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM;Glacier Blue, Titanium Gold, Diamond Black;V2420;₹ 12,499;0.99 W/kg (head)     0.99 W/kg (body);N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 28, 38, 40, 41;1, 3, 5, 8, 28, 40, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mediatek Dimensity 6300 (6 nm);Mali-G57 MC2;Android 14, Funtouch 14;N/A;8 MP, f/2.0, (wide);1080p@30fps;N/A;Yes;Yes, with dual speakers
14;Vivo;vivo Y16;https://www.gsmarena.com/vivo_y16-11874.php;N/A;N/A;10W wired;5000 mAh;Splashproof;Glass front, plastic frame, plastic back;164 x 75.6 x 8.2 mm (6.46 x 2.98 x 0.32 in);Nano-SIM + Nano-SIM;184 g (6.49 oz);5.0, A2DP, LE;N/A;No;GPS, GLONASS, GALILEO, BDS;FM radio;USB Type-C, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;N/A;720 x 1600 pixels, 20:9 ratio (~270 ppi density);6.51 inches, 102.3 cm2 (~82.5% screen-to-body ratio);IPS LCD;N/A;N/A;N/A;N/A;N/A;Fingerprint (side-mounted), accelerometer, proximity, compass;2022, September 01;Available. Released 2022, September 01;"13 MP, f/2.2, (wide), PDAF
2 MP, f/2.4, (macro)";LED flash;N/A;N/A;N/A;1080p@30fps;N/A;microSDXC (dedicated slot);32GB 2GB RAM, 32GB 3GB RAM, 64GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM;Drizzling Gold, Stellar Black;V2204, V2214;About 120 EUR;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 40;N/A;HSPA, LTE;GSM / HSPA / LTE;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53);Mediatek MT6765 Helio P35 (12 nm);PowerVR GE8320;Android 12, Funtouch 12;N/A;5 MP, f/2.2, (wide);Yes;N/A;Yes;Yes
15;Vivo;vivo iQOO Neo 10R;https://www.gsmarena.com/vivo_iqoo_neo_10r-13682.php;N/A;N/A;"80W wired, 55W PD, 50% in 26 min, 100% in 55 min
7.5W reverse wired
Bypass charging";Si/C Li-Ion 6400 mAh;IP65 dust tight and water resistant (low pressure water jets);Glass front (Schott Xensation Up), plastic back, plastic frame;163.7 x 75.9 x 8 mm (6.44 x 2.99 x 0.31 in);Nano-SIM + Nano-SIM;196 g (6.91 oz);5.4, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless;Yes;No;GPS, GLONASS, GALILEO, BDS, QZSS, NavIC;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct;N/A;Schott Xensation Up;1260 x 2800 pixels, 20:9 ratio (~452 ppi density);6.78 inches, 111.5 cm2 (~89.7% screen-to-body ratio);AMOLED, 1B colors, 144Hz, 3840Hz PWM, HDR10+, 4500 nits (peak);N/A;N/A;N/A;N/A;N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2025, March 11;Available. Released 2025, March 19;"50 MP, f/1.8, (wide), 1/1.95"", 0.8µm, PDAF, OIS
8 MP, f/2.2, (ultrawide), 1/4.0"", 1.12µm";LED flash, panorama, HDR;N/A;N/A;N/A;4K@30/60fps, 1080p, gyro-EIS, OIS;"UFS 3.1 - 128GB
UFS 4.1 - 256GB";No;128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM;Raging Blue, MoonKnight Titanium;I2221;₹ 24,998;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 28, 38, 40, 41;1, 3, 5, 8, 28, 38, 40, 41, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (1x3.0 GHz Cortex-X4 & 4x2.8 GHz Cortex-A720 & 3x2.0 GHz Cortex-A520);Qualcomm SM8635 Snapdragon 8s Gen 3 (4 nm);Adreno 735;Android 15, up to 3 major Android upgrades, Funtouch 15;N/A;"32 MP, f/2.5, (wide), 1/3.1"", 0.7µm";4K@30/60fps, 1080p, gyro-EIS;24-bit/192kHz Hi-Res audio;No;Yes, with stereo speakers
16;Vivo;vivo iQOO Z9 Turbo;https://www.gsmarena.com/vivo_iqoo_z9_turbo-12872.php;N/A;N/A;"80W wired
7.5W reverse wired";6000 mAh;IP64 dust tight and water resistant (water splashes);N/A;163.7 x 76 x 8 mm (6.44 x 2.99 x 0.31 in);Nano-SIM + Nano-SIM;194.9 g (6.88 oz);5.4, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless;Yes;Yes;GPS, GALILEO, GLONASS, QZSS, BDS (B1I+B1c);No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band;N/A;N/A;1260 x 2800 pixels, 20:9 ratio (~453 ppi density);6.78 inches, 111.0 cm2 (~89.2% screen-to-body ratio);AMOLED, 1B colors, 144Hz, HDR, 4500 nits (peak);N/A;N/A;N/A;N/A;N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2024, April 24;Available. Released 2024, April 29;"50 MP, f/1.8, (wide), 1/1.95"", 0.8µm, PDAF, OIS
8 MP, f/2.2, (ultrawide)";LED flash, panorama, HDR;N/A;N/A;N/A;4K@30/60fps, 1080p, gyro-EIS, OIS;UFS 4.0;Unspecified;256GB 12GB RAM, 256GB 16GB RAM, 512GB 12GB RAM, 512GB 16GB RAM;Black, Mint, White;V2352A;About 260 EUR;N/A;N/A;CDMA 800;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 28, 34, 38, 39, 40, 41;1, 5, 8, 28, 41, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / CDMA / HSPA / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (1x3.0 GHz Cortex-X4 & 4x2.8 GHz Cortex-A720 & 3x2.0 GHz Cortex-A520);Qualcomm SM8635 Snapdragon 8s Gen 3 (4 nm);Adreno 735;Android 14, OriginOS 4;N/A;"16 MP, f/2.5, (wide), 1/3.0"", 1.0µm";1080p@30fps;N/A;No;Yes, with stereo speakers
17;Vivo;vivo Y35;https://www.gsmarena.com/vivo_y35-11770.php;N/A;N/A;"44W wired, 70% in 34 min
Reverse wired";5000 mAh;IP5X (dust), IPX4 (water) resistance;Glass front, plastic frame, plastic back;164.3 x 76.1 x 8.3 mm (6.47 x 3.00 x 0.33 in);Nano-SIM + Nano-SIM;188 g (6.63 oz);5.0, A2DP, LE;N/A;No;GPS, GLONASS, GALILEO, BDS, QZSS;FM radio;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;N/A;1080 x 2408 pixels, 20:9 ratio (~401 ppi density);6.58 inches, 104.3 cm2 (~83.4% screen-to-body ratio);IPS LCD, 90Hz, 550 nits (HBM);N/A;N/A;N/A;N/A;N/A;Fingerprint (side-mounted), accelerometer, proximity, gyro, compass;2022, August 15;Available. Released 2022, August 15;N/A;LED flash;N/A;N/A;"50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)";1080p@30fps;N/A;microSDXC (dedicated slot);64GB 4GB RAM, 128GB 4GB RAM, 128GB 8GB RAM, 256GB 8GB RAM;Dawn Gold, Agate Black;N/A;About 100 EUR;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 40;N/A;HSPA, LTE;GSM / HSPA / LTE;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver);Qualcomm SM6225 Snapdragon 680 4G (6 nm);Adreno 610;Android 11, Funtouch 12;HDR;16 MP, f/2.0, (wide);1080p@30fps;24-bit/192kHz Hi-Res audio;Yes;Yes
18;Vivo;vivo iQOO Z9 (China);https://www.gsmarena.com/vivo_iqoo_z9_(china)-12959.php;N/A;N/A;"80W wired
7.5W reverse wired";6000 mAh;IP64 dust tight and water resistant (water splashes);N/A;163.7 x 75.9 x 8 mm (6.44 x 2.99 x 0.31 in);Nano-SIM + Nano-SIM;194.6 g (6.88 oz);5.4, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless;Yes;Yes;GPS, GALILEO, GLONASS, QZSS, BDS (B1I+B1c);No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band;N/A;N/A;1260 x 2800 pixels, 20:9 ratio (~453 ppi density);6.78 inches, 111.0 cm2 (~89.3% screen-to-body ratio);AMOLED, 1B colors, 144Hz, HDR, 4500 nits (peak);N/A;N/A;N/A;N/A;N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2024, April 24;Available. Released 2024, April 29;"50 MP, f/1.8, (wide), 1/1.95"", 0.8µm, PDAF
2 MP, f/2.4, (depth)";LED flash, panorama, HDR;N/A;N/A;N/A;4K@30fps, 1080p, gyro-EIS;UFS 2.2;No;128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM;Black, White, Green;V2361A;About 190 EUR;N/A;N/A;CDMA 800;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 28, 34, 38, 39, 40, 41;1, 5, 8, 28, 38, 41, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / CDMA / HSPA / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (1x2.63 GHz Cortex-A715 & 4x2.4 GHz Cortex-A715 & 3x1.8 GHz Cortex-A510);Qualcomm SM7550-AB Snapdragon 7 Gen 3 (4 nm);Adreno 720;Android 14, OriginOS 4;N/A;"16 MP, f/2.5, (wide), 1/3.0"", 1.0µm";1080p@30fps;N/A;No;Yes, with stereo speakers
19;Vivo;vivo X200 Pro;https://www.gsmarena.com/vivo_x200_pro-13410.php;N/A;N/A;"90W wired
30W wireless
Reverse wireless
Reverse wired";Si/C Li-Ion 6000 mAh (Global)Li-Ion 5200 mAh (Austria, Hungary, Germany);"IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min)";Glass front, aluminum alloy frame, glass back or glass fiber back;162.4 x 76 x 8.2 mm or 8.5 mm;Nano-SIM + Nano-SIM + eSIM (max 2 at a time)Nano-SIM + Nano-SIM;223 g or 228 g (7.87 oz);5.4, A2DP, LE, aptX HD, LHDC 5;Yes;Yes;GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a+B2b), GALILEO (E1+E5a+E5b), QZSS (L1+L5), NavIC (L5);No;USB Type-C 3.2, OTG;Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band;Ultra HDR image support;Scratch/drop-resistant glass (Armor Glass);1260 x 2800 pixels, 20:9 ratio (~452 ppi density);6.78 inches, 111.5 cm2 (~90.3% screen-to-body ratio);LTPO AMOLED, 1B colors, 120Hz, 2160Hz PWM, HDR10+, Dolby Vision, 4500 nits (peak);N/A;N/A;N/A;N/A;Satellite connectivity support (optional, market/region dependent);Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass;2024, October 14;Available. Released 2024, October 19;N/A;Laser AF, color spectrum sensor, Zeiss optics, Zeiss T* lens coating, LED flash, panorama, HDR, 3D LUT import;N/A;N/A;"50 MP, f/1.6, 23mm (wide), 1/1.28"", 1.22µm, PDAF, OIS
200 MP, f/2.7, 85mm (periscope telephoto), 1/1.4"", 0.56µm, multi-directional PDAF, OIS, 3.7x optical zoom, macro 2.7:1
50 MP, f/2.0, 15mm, 119˚ (ultrawide), 1/2.76"", 0.64µm, AF";8K@30fps, 4K@30/60/120fps, 1080p@30/60/120/240fps, gyro-EIS, 10-bit Log, Dolby Vision HDR;UFS 4.0;No;256GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM;Cosmos Black, Titanium Grey, Blue, White;V2413, V2405A, V2405DA;$ 829.92 / € 1,044.05 / £ 969.00 / ₹ 84,990;0.99 W/kg (head)     0.90 W/kg (body);N/A;1, 3, 5, 8, 28, 38, 40, 41, 77, 78, 79 SA/NSA/Sub6 - China;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 - China;1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 32, 34, 38, 39, 40, 41, 42, 66 - International;1, 2, 3, 5, 7, 8, 12, 20, 25, 26, 28, 38, 40, 41, 66, 77, 78 SA/NSA/Sub6 - India;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;Active use score 15:09h;N/A;N/A;1881 nits max brightness (measured);-25.0 LUFS (Very good);"AnTuTu: 2609095(v10)
GeekBench: 8152 (v6)
3DMark: 6173 (Wild Life Extreme)";Octa-core (1x3.63 GHz Cortex-X925 & 3x3.3 GHz Cortex-X4 & 4x2.4 GHz Cortex-A720);Mediatek Dimensity 9400 (3 nm);Immortalis-G925;Android 15, up to 4 major Android upgrades, Funtouch 15 (International), OriginOS 5 (China);HDR;32 MP, f/2.0, 20mm (ultrawide);4K@30/60fps, 1080p@30/60fps;24-bit/192kHz Hi-Res audio;No;Yes, with stereo speakers
20;Vivo;vivo Y12;https://www.gsmarena.com/vivo_y12-9729.php;N/A;N/A;N/A;5000 mAh, non-removable;N/A;Glass front, plastic back, plastic frame;159.4 x 76.8 x 8.9 mm (6.28 x 3.02 x 0.35 in);Nano-SIM + Nano-SIM;190.5 g (6.74 oz);5.0, A2DP, LE;N/A;No;GPS, GLONASS, GALILEO, BDS;FM radio;microUSB 2.0, OTG;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;N/A;N/A;720 x 1544 pixels, 19.3:9 ratio (~268 ppi density);6.35 inches, 99.6 cm2 (~81.4% screen-to-body ratio);IPS LCD;N/A;N/A;N/A;N/A;N/A;Fingerprint (rear-mounted), accelerometer, proximity, compass;2019, June 20. Released 2019, June;Discontinued;N/A;LED flash, HDR, panorama;N/A;N/A;"13 MP, f/2.2, PDAF
8 MP, f/2.2, 16mm (ultrawide)
2 MP, f/2.4, (depth)";1080p@30fps;eMMC 5.1;microSDXC (dedicated slot);32GB 3GB RAM, 32GB 4GB RAM, 64GB 3GB RAM, 64GB 4GB RAM;Aqua Blue, Burgundy Red;1904, 1940;About 160 EUR;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 28, 38, 40, 41;N/A;HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps;GSM / HSPA / LTE;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core 2.0 GHz Cortex-A53;Mediatek MT6762 Helio P22 (12 nm);PowerVR GE8320;Android 9.0 (Pie), Funtouch 9;N/A;8 MP, f/2.2;1080p@30fps;N/A;Yes;Yes
21;Vivo;vivo T4 Ultra;https://www.gsmarena.com/vivo_t4_ultra_5g-13927.php;N/A;N/A;"90W wired, PD, 100% in 48 min
Reverse wired";Si/C Li-Ion 5500 mAh;IP64 dust tight and water resistant (water splashes);Glass front, glass back;160.6 x 75 x 7.5 mm (6.32 x 2.95 x 0.30 in);Nano-SIM + Nano-SIM;192 g (6.84 oz);5.4, A2DP, LE;N/A;Yes;GPS, GLONASS, GALILEO, BDS, NavIC;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct;N/A;N/A;1260 x 2800 pixels, 20:9 ratio (~460 ppi density);6.67 inches, 107.4 cm2 (~89.2% screen-to-body ratio);AMOLED, 1B colors, 120Hz, 2160Hz PWM, 1600 nits (HBM), 5000 nits (peak);N/A;N/A;N/A;N/A;Circle to Search;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2025, June 11;Available. Released 2025, June 18;N/A;Ring-LED flash, panorama, HDR;N/A;N/A;"50 MP, f/1.9, 23mm (wide), 1/1.56"", PDAF, OIS
50 MP, f/2.6, 85mm (periscope telephoto), 1/1.95"", 0.8µm, PDAF (15cm - ∞), OIS, 3x optical zoom
8 MP, f/2.2, (ultrawide)";4K, 1080p, gyro-EIS;UFS 3.1;No;256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM;Phoenix Gold, Meteor Grey;N/A;₹ 38,999;0.99 W/kg (head)     1.00 W/kg (body);N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;1, 3, 4, 5, 7, 8, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41, 42, 43, 48, 66;1, 3, 5, 7, 8, 18, 26, 28, 38, 40, 41, 48, 66, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (1x3.4 GHz Cortex-X4 & 3x2.85 GHz Cortex-X4 & 4x2.0 GHz Cortex-A720);Mediatek Dimensity 9300+ (4 nm);Immortalis-G720 MC12;Android 15, Funtouch 15;N/A;32 MP, f/2.5, (wide);Yes;N/A;No;Yes, with stereo speakers
22;Vivo;vivo iQOO Z10 Turbo;https://www.gsmarena.com/vivo_iqoo_z10_turbo_5g-13822.php;N/A;N/A;"90W wired, 100% in 55 min
Reverse wired";Si/C Li-Ion 7620 mAh;IP65 dust tight and water resistant (low pressure water jets);Glass front, plastic back, plastic frame;163.7 x 75.9 x 8.1 mm (6.44 x 2.99 x 0.32 in);Nano-SIM + Nano-SIM;212 g (7.48 oz);6.0, A2DP, LE, aptX HD;Yes;Yes;GPS (L1+L5), BDS (B1I+B1C+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5), GLONASS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band;N/A;N/A;1260 x 2800 pixels, 20:9 ratio (~453 ppi density);6.78 inches, 111.0 cm2 (~89.3% screen-to-body ratio);AMOLED, 1B colors, 144Hz, HDR, 2000 nits (HBM), 4400 nits (peak);N/A;N/A;N/A;N/A;N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2025, April 28;Available. Released 2025, April 28;"50 MP, f/1.8, (wide), 1/1.95"", 0.8µm, PDAF, OIS
2 MP, f/2.4, (depth)";Color spectrum sensor, LED flash, HDR, panorama;N/A;N/A;N/A;4K, 1080p, gyro-EIS, OIS;UFS 4.1;No;256GB 12GB RAM, 256GB 16GB RAM, 512GB 12GB RAM, 512GB 16GB RAM;White, Black, Orange, Gold;V2452A;About 220 EUR;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 2100;1, 3, 5, 8, 19, 28, 34, 38, 39, 40, 41, 42, 48;1, 3, 5, 8, 28, 34, 38, 39, 40, 41, 48, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (1x3.25 GHz Cortex-A725 & 3x3.0 GHz Cortex-A725 & 4x2.1 GHz Cortex-A725);Mediatek Dimensity 8400 (4 nm);G720 MC7;Android 15, OriginOS 5;N/A;"16 MP, f/2.5, (wide), 1/3.0"", 1.0µm";1080p@30fps, gyro-EIS;N/A;No;Yes, with stereo speakers
